name, day, month, year, link
La Finta Giardiniera, 18, 5, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-finta-giardiniera-die-gaertnerin-aus-liebe/18-05-2026/1900
La Traviata, 16, 10, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/16-10-2025/1900
La Traviata, 26, 10, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/26-10-2025/1530
La Traviata, 1, 11, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/01-11-2025/1800
La Traviata, 9, 11, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/09-11-2025/1930
La Traviata, 11, 11, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/11-11-2025/1900
La Traviata, 19, 11, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/la-traviata/19-11-2025/1900
Die Zauberflöte, 13, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/13-12-2025/1900
Die Zauberflöte, 15, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/15-12-2025/1900
Die Zauberflöte, 18, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/18-12-2025/1800
Die Zauberflöte, 21, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/21-12-2025/1530
Die Zauberflöte, 26, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/26-12-2025/1800
Die Zauberflöte, 29, 12, 2025, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/29-12-2025/1900
Die Zauberflöte, 8, 1, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/08-01-2026/1900
Die Zauberflöte, 10, 1, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/10-01-2026/1900
Die Zauberflöte, 18, 1, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/18-01-2026/1800
Die Zauberflöte, 25, 1, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/die-zauberfloete/25-01-2026/1800
Turandot, 25, 2, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/turandot/25-02-2026/1900
Turandot, 27, 2, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/turandot/27-02-2026/1900
Turandot, 5, 3, 2026, https://www.staatstheater-nuernberg.de/spielplan-25-26/turandot/05-03-2026/1900

